cidade_origem,latitude_origem,longitude_origem,hospital,cidade_hospital,latitude_hospital,longitude_hospital,telefone,endereco,distancia_km,soro,animal
Santa Cruz da Baixa Verde,-7.81339,-38.14756,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,25.583,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Santa Cruz do Capibaribe,-7.948019,-36.206092,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,41.66,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Santa Filomena,-8.166877,-40.607854,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,65.707,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Santa Maria da Boa Vista,-8.797655,-39.824056,Hospital Universitário de Petrolina (HU-UNIVASF),Petrolina,-9.39235484268768,-40.495606654821415,(87) 2101-6501/6526,Avenida José de Sá Maniçoba s/n - Centro,98.874,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Santa Maria do Cambucá,-7.83676,-35.894138,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,46.014,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Santa Terezinha,-7.37696,-37.47875,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,112.98,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Serra Talhada,-7.981778,-38.289034,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,1.33,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Serrita,-7.940406,-39.295062,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,23.934,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Sertânia,-8.068467,-37.268393,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,45.671,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Sirinhaém,-8.587782,-35.11259,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,63.652,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Solidão,-7.594717,-37.644494,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,84.311,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Surubim,-7.847456,-35.748102,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,50.534,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Benedito do Sul,-8.816603,-35.945346,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,63.277,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Bento do Una,-8.52637,-36.446469,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,60.641,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Caitano,-8.329239,-36.144077,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,20.937,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Joaquim do Monte,-8.431962,-35.803498,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,27.904,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São José da Coroa Grande,-8.889375,-35.151461,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,96.578,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São José do Belmonte,-7.857235,-38.757689,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,45.049,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São José do Egito,-7.469447,-37.273974,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,108.13,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São João,-8.875762,-36.36532,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,81.987,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Lourenço da Mata,-8.00684,-35.012359,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,13.601,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
São Vicente Ferrer,-7.589691,-35.480844,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,82.218,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tabira,-7.583661,-37.537735,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,95.158,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tacaimbó,-8.308673,-36.300035,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,36.621,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tacaratu,-9.097976,-38.150401,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,123.763,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tamandaré,-8.756646,-35.103285,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,80.997,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Taquaritinga do Norte,-7.894457,-36.042265,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,39.515,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Terezinha,-9.056208,-36.627236,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,84.426,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Terra Nova,-8.222436,-39.382482,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,34.803,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Timbaúba,-7.504835,-35.311884,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,75.913,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Toritama,-8.009546,-36.063659,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,27.878,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tracunhaém,-7.802284,-35.231421,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,46.06,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Trindade,-7.759,-40.26472,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,24.168,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Triunfo,-7.832719,-38.097776,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,28.097,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tupanatinga,-8.747984,-37.344532,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,48.089,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Tuparetama,-7.6003,-37.31653,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,95.391,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Venturosa,-8.578855,-36.874187,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,26.367,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Verdejante,-7.922353,-38.970083,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,21.782,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Vertente do Lério,-7.770844,-35.849054,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,54.231,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Vertentes,-7.901581,-35.968143,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,38.005,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Vicência,-7.656549,-35.31395,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,63.472,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Vitória de Santo Antão,-8.128191,-35.29762,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,44.801,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Xexéu,-8.804601,-35.621222,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,73.041,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Água Preta,-8.706095,-35.526311,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,70.898,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Águas Belas,-9.111255,-37.122619,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,76.544,Soro Anticotrálico (SAC) - cascavel,Serpente (cobra)
Abreu e Lima,-7.900719,-34.898389,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,16.881,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Afogados da Ingazeira,-7.743121,-37.630991,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,78.502,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Afrânio,-8.511358,-41.009544,Hospital Universitário de Petrolina (HU-UNIVASF),Petrolina,-9.39235484268768,-40.495606654821415,(87) 2101-6501/6526,Avenida José de Sá Maniçoba s/n - Centro,112.644,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Agrestina,-8.459657,-35.944725,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,23.937,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Alagoinha,-8.466504,-36.778767,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,30.799,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Aliança,-7.60398,-35.222696,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,61.247,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Altinho,-8.48482,-36.064408,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,28.321,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Amaraji,-8.376914,-35.450051,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,59.506,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Angelim,-8.884289,-36.290174,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,78.8,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Araripina,-7.570733,-40.494025,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,56.883,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Araçoiaba,-7.783911,-35.080897,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,35.974,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Arcoverde,-8.415192,-37.057748,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,0.861,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Barra de Guabiraba,-8.420751,-35.658544,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,39.786,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Barreiros,-8.816052,-35.183178,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,90.003,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Belo Jardim,-8.3313,-36.425822,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,50.7,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Belém de Maria,-8.625038,-35.83347,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,44.764,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Belém de São Francisco,-8.75046,-38.962255,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,78.328,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Betânia,-8.267867,-38.03454,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,42.444,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Bezerros,-8.232796,-35.795995,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,19.637,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Bodocó,-7.777592,-39.933797,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,20.277,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Bom Conselho,-9.169191,-36.685683,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,92.039,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Bom Jardim,-7.796947,-35.578391,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,66.01,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Bonito,-8.471628,-35.729249,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,36.78,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Brejinho,-7.34694,-37.286493,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,121.657,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Brejo da Madre de Deus,-8.149333,-36.374142,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,45.37,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Brejão,-9.029146,-36.566034,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,86.003,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Buenos Aires,-7.724488,-35.318197,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,58.894,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Buíque,-8.619539,-37.160564,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,24.706,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cabo de Santo Agostinho,-8.28218,-35.025293,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,28.927,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cabrobó,-8.505484,-39.309384,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,53.979,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cachoeirinha,-8.486685,-36.240182,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,39.678,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Caetés,-8.780301,-36.626828,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,61.539,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Calumbi,-7.935515,-38.148244,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,17.619,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Calçado,-8.731081,-36.336554,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,66.959,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Camaragibe,-8.023505,-34.978152,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,9.418,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Camocim de São Félix,-8.358649,-35.765332,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,26.17,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Camutanga,-7.405449,-35.26636,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,82.368,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Canhotinho,-8.876519,-36.197935,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,74.058,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Capoeiras,-8.734225,-36.630566,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,58.062,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Carnaubeira da Penha,-8.317994,-38.751155,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,49.14,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Carnaíba,-7.793421,-37.794584,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,59.657,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Carpina,-7.84566,-35.251397,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,45.218,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Caruaru,-8.284547,-35.969863,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,4.376,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Casinhas,-7.740839,-35.720635,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,62.37,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Catende,-8.675086,-35.702386,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,56.16,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cedro,-7.71179,-39.236733,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,40.681,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Chã Grande,-8.238271,-35.457148,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,56.928,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Chã de Alegria,-8.006795,-35.204002,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,34.108,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Condado,-7.587868,-35.09994,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,56.086,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Correntes,-9.121174,-36.324435,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,104.287,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cortês,-8.474434,-35.546789,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,53.432,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cumaru,-8.008266,-35.695748,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,40.317,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Cupira,-8.624324,-35.951835,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,42.003,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Custódia,-8.08546,-37.64428,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,72.945,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Dormentes,-8.441163,-40.766168,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,97.253,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Escada,-8.356717,-35.224082,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,49.148,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Exu,-7.50364,-39.723789,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,57.805,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Feira Nova,-7.947042,-35.38013,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,54.421,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Fernando de Noronha,-3.839601,-32.410733,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,541.259,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Ferreiros,-7.446664,-35.237252,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,76.82,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
Flores,-7.85842,-37.971511,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,38.867,Soro Antielapídico (SAE) - coral verdadeira,Serpente (cobra)
